recordtime	accelerationX	accelerationY	accelerationZ
574	-0.03607178	-0.02023315	-1.005875
575	-0.03245544	-0.01911926	-1.00412
576	-0.0344696	-0.01701355	-1.00499
577	-0.03390503	-0.01791382	-1.008209
578	-0.03488159	-0.01771545	-1.007416
579	-0.03239441	-0.01950073	-1.005554
580	-0.03277588	-0.01916504	-1.00798
581	-0.03338623	-0.01965332	-1.00708
582	-0.03367615	-0.01856995	-1.007889
583	-0.03448486	-0.01786804	-1.006516
584	-0.0322113	-0.01873779	-1.007935
585	-0.03468323	-0.01925659	-1.006332
586	-0.03340149	-0.01773071	-1.008133
587	-0.03417969	-0.019104	-1.009262
588	-0.03553772	-0.01872253	-1.013275
589	-0.03411865	-0.01795959	-1.014893
590	-0.03382874	-0.01820374	-1.013382
591	-0.03379822	-0.01852417	-1.011932
592	-0.0320282	-0.01898193	-1.012115
593	-0.03474426	-0.01832581	-1.01004
594	-0.03308105	-0.01979065	-1.010544
595	-0.03161621	-0.01885986	-1.009445
596	-0.03382874	-0.01739502	-1.007172
597	-0.03440857	-0.0186615	-1.007294
598	-0.03526306	-0.01979065	-1.009552
599	-0.03363037	-0.01843262	-1.007797
600	-0.03459167	-0.02017212	-1.007614
601	-0.03256226	-0.01878357	-1.008438
602	-0.0330658	-0.02053833	-1.00679
603	-0.03477478	-0.0202179	-1.008286
604	-0.03356934	-0.01896667	-1.009354
605	-0.03605652	-0.0188446	-1.00766
606	-0.03317261	-0.01966858	-1.007324
607	-0.03240967	-0.01856995	-1.007843
608	-0.03512573	-0.01841736	-1.007965
609	-0.03579712	-0.02026367	-1.007538
610	-0.03564453	-0.01873779	-1.007172
611	-0.03503418	-0.02043152	-1.007599
612	-0.03588867	-0.01919556	-1.007111
613	-0.03271484	-0.0202179	-1.006897
614	-0.03530884	-0.01794434	-1.006088
615	-0.03494263	-0.01942444	-1.008591
616	-0.03369141	-0.01997375	-1.007294
617	-0.0335083	-0.02011108	-1.006317
618	-0.03466797	-0.0184021	-1.008759
619	-0.03445435	-0.01927185	-1.008469
620	-0.03291321	-0.01982117	-1.00705
621	-0.03382874	-0.01795959	-1.011108
622	-0.03408813	-0.01951599	-1.007462
623	-0.03434753	-0.01875305	-1.009277
624	-0.03427124	-0.01930237	-1.006927
625	-0.03363037	-0.01968384	-1.006866
626	-0.03300476	-0.0193634	-1.006638
627	-0.03468323	-0.01869202	-1.006073
628	-0.03372192	-0.01678467	-1.007278
629	-0.03421021	-0.0193634	-1.007202
630	-0.03457642	-0.02087402	-1.006607
